乙酰半胱氨酸注射液|肝衰竭
金乌骨通胶囊|风寒湿痹
金乌骨通胶囊|骨质疏松
金乌骨通胶囊|骨质增生
金乌骨通胶囊|腰腿酸痛
金乌骨通胶囊|肢体麻木
万通筋骨片|痹症
万通筋骨片|肩周炎
万通筋骨片|颈椎病
万通筋骨片|腰腿痛
万通筋骨片|肌肉关节疼痛
万通筋骨片|屈伸不利
万通筋骨片|风湿性关节炎
万通筋骨片|类风湿性关节炎
腰痹通胶囊|腰痛
腰痹通胶囊|腰腿疼痛
腰痹通胶囊|腰椎间盘突出症
辣椒碱乳膏|骨关节炎
辣椒碱乳膏|类风湿性关节炎
辣椒碱乳膏|强直性脊椎炎
辣椒碱乳膏|纤维肌痛症
辣椒碱乳膏|风湿性关节炎
辣椒碱乳膏|关节疼痛
辣椒碱乳膏|肌肉疼痛
辣椒碱乳膏|疼痛
辣椒碱乳膏|扭伤
辣椒碱乳膏|拉伤
关节止痛膏|关节扭伤
关节止痛膏|关节疼痛
风湿液|肝肾血亏
风湿液|风寒湿痹
风湿液|关节疼痛
风湿液|四肢麻木
风湿液|风湿性疾病
风湿液|类风湿性疾病
通络骨质宁膏|骨质增生
通络骨质宁膏|关节痹痛
正红花油|心腹诸痛
正红花油|四肢麻木
正红花油|风湿骨痛
正红花油|腰酸背痛
正红花油|扭伤
正红花油|瘀肿
正红花油|跌打刀伤
正红花油|烫火烧伤
正红花油|蚊虫蜂咬
正红花油|恶毒阴疽
正骨水|扭伤
正骨水|骨折
正骨水|脱臼
骨友灵搽剂|骨质增生
骨友灵搽剂|功能性软组织损伤
骨友灵搽剂|大骨节病
骨友灵搽剂|肿胀
骨友灵搽剂|疼痛
骨友灵搽剂|膝关节骨性关节炎
神农镇痛膏|跌打损伤
神农镇痛膏|风湿关节痛
神农镇痛膏|腰背酸痛
骨通贴膏|寒湿阻络
骨通贴膏|关节疼痛
骨通贴膏|关节肿胀
骨通贴膏|麻木重着
骨通贴膏|屈伸不利
骨通贴膏|活动受限
那如三味丸|风湿
那如三味丸|关节疼痛
那如三味丸|腰腿冷痛
那如三味丸|牙痛
那如三味丸|白喉
硫酸氨基葡萄糖片|骨性关节炎
壮骨伸筋胶囊|肝肾两虚
壮骨伸筋胶囊|寒湿阻络
壮骨伸筋胶囊|神经根型颈椎病
壮骨伸筋胶囊|疼痛
壮骨伸筋胶囊|麻木
壮骨伸筋胶囊|活动受限
跌打万花油|打损伤
跌打万花油|扭伤
跌打万花油|轻度烫伤
盐酸乙哌立松片|颈背肩臂综合症
盐酸乙哌立松片|肩周炎
盐酸乙哌立松片|肩关节周围炎
盐酸乙哌立松片|腰痛症
盐酸乙哌立松片|痉挛性麻痹
盐酸乙哌立松片|脑血管障碍
盐酸乙哌立松片|痉挛性脊髓麻痹
盐酸乙哌立松片|颈椎病
盐酸乙哌立松片|手术后遗症
盐酸乙哌立松片|外伤后遗症
盐酸乙哌立松片|脊柱损伤
盐酸乙哌立松片|脊髓损伤
盐酸乙哌立松片|颈部脊髓损伤
盐酸乙哌立松片|头部外伤
盐酸乙哌立松片|肌萎缩性侧索硬化症
盐酸乙哌立松片|婴儿大脑性轻瘫
盐酸乙哌立松片|脊髓小脑变性症
盐酸乙哌立松片|脊髓血管障碍
盐酸乙哌立松片|亚急性脊髓神经症
盐酸乙哌立松片|脑脊髓疾病
复方南星止痛膏|关节疼痛
复方南星止痛膏|肿胀
复方南星止痛膏|活动不利
复方水杨酸甲酯乳膏|扭伤
复方水杨酸甲酯乳膏|挫伤
复方水杨酸甲酯乳膏|拉伤
复方水杨酸甲酯乳膏|劳损
复方水杨酸甲酯乳膏|筋膜炎
复方水杨酸甲酯乳膏|创伤性关节滑膜炎
复方水杨酸甲酯乳膏|韧带损伤
复方水杨酸甲酯乳膏|肿胀
复方水杨酸甲酯乳膏|疼痛
利塞膦酸钠片|骨质疏松症
复方氯唑沙宗片|急性软组织扭伤
复方氯唑沙宗片|慢性软组织扭伤
复方氯唑沙宗片|挫伤
复方氯唑沙宗片|肌肉酸痛
复方氯唑沙宗片|肌肉劳损
复方氯唑沙宗片|疼痛
复方氯唑沙宗片|中枢神经病变
复方氯唑沙宗片|肌肉痉挛
复方氯唑沙宗片|慢性筋膜炎
颈痛颗粒|神经根型颈椎
颈痛颗粒|血瘀气滞
颈痛颗粒|脉络闭阻
颈痛颗粒|颈疼痛
颈痛颗粒|肩疼痛
颈痛颗粒|上肢疼痛
颈痛颗粒|发僵
颈痛颗粒|窜麻
颈痛颗粒|窜痛
治伤胶囊|跌打损伤
治伤胶囊|软组织损伤
治伤胶囊|劳损
治伤胶囊|皮肤损伤
治伤胶囊|内伤
治伤胶囊|风湿性关节炎
治伤胶囊|肩周炎
治伤胶囊|软骨炎
治伤胶囊|滑膜炎
治伤胶囊|腱鞘炎
治伤胶囊|组织无菌性炎症
治伤胶囊|骨质增生
治伤胶囊|神经根型颈椎病
治伤胶囊|关节退行性变
治伤胶囊|疼痛
治伤胶囊|腰腿疼
治伤胶囊|坐骨神经痛
治伤胶囊|关节肿痛
治伤胶囊|颈椎痛
天麻壮骨丸|风湿阻络
天麻壮骨丸|偏正头痛
天麻壮骨丸|头晕
天麻壮骨丸|风湿
天麻壮骨丸|痹痛
天麻壮骨丸|腰膝酸软
天麻壮骨丸|四肢麻木
镇痛活络酊|急慢性软组织损伤
镇痛活络酊|关节炎
镇痛活络酊|肩周炎
镇痛活络酊|颈椎病
镇痛活络酊|骨质增生
镇痛活络酊|坐骨神经痛
镇痛活络酊|劳累损伤
镇痛活络酊|筋骨酸痛症
伤科灵喷雾剂|软组织损伤
伤科灵喷雾剂|骨伤
伤科灵喷雾剂|Ⅱ度烧烫伤
伤科灵喷雾剂|湿疹
伤科灵喷雾剂|疱疹
风湿祛痛胶囊|痹病
风湿祛痛胶囊|肌肉关节疼痛
风湿祛痛胶囊|肿胀
风湿祛痛胶囊|关节活动受限
风湿祛痛胶囊|晨僵
风湿祛痛胶囊|局部发热
风湿祛痛胶囊|风湿性关节炎
风湿祛痛胶囊|类风湿性关节炎
尼美舒利分散片|慢性关节炎症
尼美舒利分散片|类风湿性关节炎
尼美舒利分散片|骨关节炎
尼美舒利分散片|疼痛
尼美舒利分散片|炎症
尼美舒利分散片|耳鼻咽部炎症
尼美舒利分散片|痛经
尼美舒利分散片|上呼吸道感染
尼美舒利分散片|发热
代温灸膏|风寒阻络
代温灸膏|痹病
代温灸膏|腰背疼痛
代温灸膏|四肢关节冷痛
代温灸膏|脘腹冷痛
代温灸膏|虚寒泄泻
代温灸膏|慢性风湿性关节炎
代温灸膏|慢性胃肠炎
骨质宁搽剂|骨质增生
骨质宁搽剂|功能性障碍
骨质宁搽剂|软组织损伤
骨质宁搽剂|肿胀
骨质宁搽剂|酸胀
骨质宁搽剂|麻木疼痛
肾炎康复片|神疲乏力
肾炎康复片|腰膝腿软
肾炎康复片|四肢浮肿
肾炎康复片|头晕
肾炎康复片|耳鸣
肾炎康复片|慢性肾炎
肾炎康复片|蛋白尿
肾炎康复片|血尿
跌打丸|跌打损伤
跌打丸|瘀血肿痛
跌打丸|闪腰岔气
别嘌醇片|原发性高尿酸血症
别嘌醇片|继发性高尿酸血症
别嘌醇片|高尿酸血症
别嘌醇片|慢性痛风
别嘌醇片|痛风石
别嘌醇片|尿酸性肾结石
别嘌醇片|尿酸性肾病
别嘌醇片|肾功能不全
消肿止痛酊|跌打扭伤
消肿止痛酊|风湿骨痛
消肿止痛酊|I度冻疮
消肿止痛酊|局部皮肤肿胀
消肿止痛酊|瘙痒
消肿止痛酊|疼痛
布洛芬片|类风湿关节炎
布洛芬片|骨关节炎
布洛芬片|脊柱关节病
布洛芬片|痛风性关节炎
布洛芬片|风湿性关节炎
布洛芬片|慢性关节炎
布洛芬片|关节肿痛
醋酸泼尼松龙片|过敏性炎症
醋酸泼尼松龙片|自身免疫性炎症
醋酸泼尼松龙片|胶原性疾病
醋酸泼尼松龙片|风湿病
醋酸泼尼松龙片|类风湿性关节炎
醋酸泼尼松龙片|红斑狼疮
醋酸泼尼松龙片|严重支气管哮喘
醋酸泼尼松龙片|肾病综合症
醋酸泼尼松龙片|血小板减少性紫癜
醋酸泼尼松龙片|粒细胞减少症
醋酸泼尼松龙片|急性淋巴性白血病
醋酸泼尼松龙片|肾上腺皮质功能不足症
醋酸泼尼松龙片|剥脱性皮炎
醋酸泼尼松龙片|天疱疮
醋酸泼尼松龙片|神经性皮炎
醋酸泼尼松龙片|湿疹
通络开痹片|关节疼痛
通络开痹片|肿胀
通络开痹片|类风湿性关节炎
尿素软膏|皮肤角化症
尿素软膏|手足皲裂
尿素软膏|干皮症
尿素软膏|鱼鳞病
复方丙酸氯倍他索软膏|抗炎
复方丙酸氯倍他索软膏|抗皮肤角化异常
复方丙酸氯倍他索软膏|寻常型银屑病
外用紫金锭|痈疽疮毒
外用紫金锭|虫咬损伤
外用紫金锭|无名肿毒
复方多粘菌素B软膏|割伤
复方多粘菌素B软膏|擦伤
复方多粘菌素B软膏|烧烫伤
复方多粘菌素B软膏|皮肤创口感染
复方多粘菌素B软膏|细菌性皮肤感染
复方多粘菌素B软膏|脓疱疮
复方多粘菌素B软膏|疖肿
复方多粘菌素B软膏|毛囊炎
复方多粘菌素B软膏|须疮
复方多粘菌素B软膏|甲沟炎
复方多粘菌素B软膏|原发性皮肤细菌感染
复方多粘菌素B软膏|湿疹
复方多粘菌素B软膏|单纯性疱疹
复方多粘菌素B软膏|脂溢性皮炎
复方多粘菌素B软膏|溃疡合并感染
尿素乳膏|手足皲裂
尿素乳膏|角化型手足癣
尿素乳膏|皲裂
异维A酸红霉素凝胶|痤疮
盐酸环丙沙星乳膏|脓疱疮
盐酸环丙沙星乳膏|疖肿
盐酸环丙沙星乳膏|毛囊炎
盐酸环丙沙星乳膏|湿疹合并感染
盐酸环丙沙星乳膏|外伤感染
盐酸环丙沙星乳膏|癣病合并感染
盐酸环丙沙星乳膏|化脓性皮肤感染
依巴斯汀片|过敏性鼻炎
依巴斯汀片|慢性特发性荨麻疹
丙酸氯倍他索乳膏|慢性湿疹
丙酸氯倍他索乳膏|银屑病
丙酸氯倍他索乳膏|扁平苔藓
丙酸氯倍他索乳膏|盘状红斑狼疮
丙酸氯倍他索乳膏|神经性皮炎
丙酸氯倍他索乳膏|掌跖脓疱病
积雪苷霜软膏|外伤
积雪苷霜软膏|手术创伤
积雪苷霜软膏|烧伤
积雪苷霜软膏|疤痕疙瘩
积雪苷霜软膏|硬皮病
复方氨肽素片|银屑病
盐酸伐昔洛韦分散片|水痘带状疱疹
盐酸伐昔洛韦分散片|Ⅰ型单纯疱疹病毒感染
盐酸伐昔洛韦分散片|Ⅱ型单纯疱疹病毒感染
盐酸伐昔洛韦分散片|生殖器疱疹病毒感染
氢醌乳膏|黄褐斑
氢醌乳膏|雀斑
氢醌乳膏|色素沉着斑
阿昔洛韦分散片|单纯疱疹病毒感染
阿昔洛韦分散片|生殖器疱疹病毒感染
阿昔洛韦分散片|带状疱疹
阿昔洛韦分散片|免疫缺陷者水痘
安缩松-尿素乳膏|神经性皮炎
安缩松-尿素乳膏|慢性湿疹
安缩松-尿素乳膏|皲裂性湿疹
安缩松-尿素乳膏|脂溢性皮炎
安缩松-尿素乳膏|搔痒
安缩松-尿素乳膏|牛皮癣
安缩松-尿素乳膏|扁平苔癣
安缩松-尿素乳膏|手足皲裂
水杨酸软膏|头癣
水杨酸软膏|足癣
水杨酸软膏|局部角质增生
过氧化氢溶液|化脓性外耳道炎
过氧化氢溶液|中耳炎
过氧化氢溶液|文森口腔炎
过氧化氢溶液|齿龈脓漏
过氧化氢溶液|扁桃体炎
拔毒膏|疖
拔毒膏|疔
拔毒膏|有头疽
维A酸片|痤疮
维A酸片|扁平苔藓
维A酸片|白斑
维A酸片|毛发红糠疹
维A酸片|面部糠疹等
维A酸片|银屑病
维A酸片|鱼鳞病
维A酸片|多发性寻常疣
维A酸片|角化异常
维A酸片|急性早幼粒细胞白血病
湿润烧伤膏|烧伤
湿润烧伤膏|烫伤
湿润烧伤膏|灼伤
林旦乳膏|疥疮
林旦乳膏|阴虱病
甲硝唑凝胶|丘疹
甲硝唑凝胶|脓疱疮
甲硝唑凝胶|酒渣鼻
甲硝唑凝胶|红斑
醋酸地塞米松片|结缔组织病
醋酸地塞米松片|支气管哮喘
醋酸地塞米松片|皮炎
醋酸地塞米松片|溃疡性结肠炎
醋酸地塞米松片|急性白血病
醋酸地塞米松片|恶性淋巴瘤
复方卡力孜然酊|白癜风
复方曲安奈德乳膏|异位湿疹样皮炎
复方曲安奈德乳膏|壅滞性皮炎
复方曲安奈德乳膏|钱币形皮炎
复方曲安奈德乳膏|接触性皮炎
复方曲安奈德乳膏|脂溢性皮炎
复方曲安奈德乳膏|神经性皮炎
复方曲安奈德乳膏|中毒性皮炎
复方曲安奈德乳膏|婴儿湿疹
复方曲安奈德乳膏|单纯性苔癣等症
复方曲安奈德乳膏|肛门瘙痒
复方曲安奈德乳膏|外阴瘙痒
枸地氯雷他定片|过敏性鼻炎
枸地氯雷他定片|打喷嚏
枸地氯雷他定片|流涕和鼻痒
枸地氯雷他定片|鼻粘膜充血
枸地氯雷他定片|鼻塞
枸地氯雷他定片|眼痒
枸地氯雷他定片|流泪
枸地氯雷他定片|充血
枸地氯雷他定片|腭痒
枸地氯雷他定片|咳嗽
枸地氯雷他定片|慢性特发性荨麻疹
枸地氯雷他定片|瘙痒
地氯雷他定干混悬剂|慢性特发性荨麻疹
地氯雷他定干混悬剂|常年性过敏性鼻炎
硝呋太尔片|菌性阴道病
硝呋太尔片|滴虫性阴道炎
硝呋太尔片|念珠菌阴道炎
硝呋太尔片|外阴炎
硝呋太尔片|泌尿系统感染
硝呋太尔片|消化道阿米巴虫
硝呋太尔片|贾第虫病
萘替芬酮康唑乳膏|真菌性皮肤病
萘替芬酮康唑乳膏|手足癣
萘替芬酮康唑乳膏|体股癣
萘替芬酮康唑乳膏|头癣
萘替芬酮康唑乳膏|皮肤念珠菌病
复方酮康唑乳膏|皮肤浅表真菌感染
复方酮康唑乳膏|手癣
复方酮康唑乳膏|足癣
复方酮康唑乳膏|体癣
复方酮康唑乳膏|股癣
复方鱼肝油氧化锌软膏|急慢性皮炎
复方鱼肝油氧化锌软膏|湿疹
复方鱼肝油氧化锌软膏|冻疮
复方鱼肝油氧化锌软膏|轻度烧伤
复方鱼肝油氧化锌软膏|烫伤
肾舒颗粒|尿道炎
肾舒颗粒|膀胱炎
肾舒颗粒|急性肾盂肾炎
肾舒颗粒|慢性肾盂肾炎
尿素维E乳膏|手足皲裂
尿素维E乳膏|角化型手足癣
尿素维E乳膏|皲裂
甲氧沙林溶液|银屑病
甲氧沙林溶液|白癜风
烟酰胺片|烟酸缺乏症
烟酰胺片|糙皮病
烟酰胺片|口炎
烟酰胺片|舌炎
盐酸西替利嗪分散片|过敏性鼻炎
盐酸西替利嗪分散片|荨麻疹
盐酸西替利嗪分散片|皮肤瘙痒
醋酸曲安奈德尿素乳膏|扁平苔藓
消风止痒颗粒|疹样荨麻疹
消风止痒颗粒|湿疹
消风止痒颗粒|皮肤瘙痒症
盐酸苯海拉明片|荨麻疹
盐酸苯海拉明片|血管神经性水肿
盐酸苯海拉明片|过敏性鼻炎
盐酸苯海拉明片|皮肤瘙痒症
盐酸苯海拉明片|药疹
盐酸苯海拉明片|虫咬症
盐酸苯海拉明片|接触性皮炎
盐酸苯海拉明片|晕动病
盐酸苯海拉明片|帕金森氏病
盐酸苯海拉明片|锥体外系症状
盐酸苯海拉明片|镇静
盐酸苯海拉明片|催眠
盐酸苯海拉明片|咳嗽
磺胺嘧啶银乳膏|轻度烧烫伤
磺胺嘧啶银乳膏|创面感染
氯雷他定分散片|过敏性鼻炎
氯雷他定分散片|喷嚏
氯雷他定分散片|流涕
氯雷他定分散片|鼻痒
氯雷他定分散片|鼻塞
氯雷他定分散片|眼部痒
氯雷他定分散片|眼部烧灼感
氯雷他定分散片|慢性荨麻疹
氯雷他定分散片|瘙痒性皮肤病
诺氟沙星乳膏|脓疱疮
诺氟沙星乳膏|湿疹感染
诺氟沙星乳膏|足疣感染
诺氟沙星乳膏|毛囊炎
诺氟沙星乳膏|疖肿
诺氟沙星乳膏|皮肤软组织感染
鱼石脂软膏|疖肿
地氯雷他定分散片|过敏性鼻炎
地氯雷他定分散片|打喷嚏
地氯雷他定分散片|流涕和鼻痒
地氯雷他定分散片|鼻粘膜充血
地氯雷他定分散片|鼻塞
地氯雷他定分散片|眼痒
地氯雷他定分散片|流泪
地氯雷他定分散片|充血
地氯雷他定分散片|腭痒
地氯雷他定分散片|咳嗽
地氯雷他定分散片|慢性特发性荨麻疹
地氯雷他定分散片|瘙痒
倍他米松新霉素乳膏|接触性皮炎
倍他米松新霉素乳膏|过敏性皮炎
倍他米松新霉素乳膏|湿疹
倍他米松新霉素乳膏|皮炎
盐酸特比萘芬乳膏|手癣
盐酸特比萘芬乳膏|足癣
盐酸特比萘芬乳膏|体癣
盐酸特比萘芬乳膏|股癣
盐酸特比萘芬乳膏|花斑癣
盐酸特比萘芬乳膏|皮肤念珠菌病
甲氧沙林片|白癜风
甲氧沙林片|银屑病
复方磺胺氧化锌软膏|湿疹
复方磺胺氧化锌软膏|创口溃疡
酮康唑乳膏|手癣
酮康唑乳膏|足癣
酮康唑乳膏|体癣
酮康唑乳膏|股癣
酮康唑乳膏|花斑癣
酮康唑乳膏|皮肤念珠菌病
克林霉素磷酸酯外用溶液|痤疮
除湿止痒软膏|急性湿疹
除湿止痒软膏|亚急性湿疹
泛昔洛韦片|带状疱疹
泛昔洛韦片|原发性生殖器疱疹
新霉素氟轻松乳膏|过敏性皮炎
新霉素氟轻松乳膏|亚急性慢性湿疹阴
新霉素氟轻松乳膏|囊湿疹
新霉素氟轻松乳膏|皮肤瘙痒症
新霉素氟轻松乳膏|外阴瘙痒
盐酸布替萘芬乳膏|足趾癣
盐酸布替萘芬乳膏|体癣
盐酸布替萘芬乳膏|股癣
氧化锌软膏|急性
氧化锌软膏|亚急性皮炎
氧化锌软膏|湿疹
氧化锌软膏|痱子
氧化锌软膏|皮肤溃疡
癣湿药水|鹅掌风
癣湿药水|灰指甲
癣湿药水|湿癣
癣湿药水|脚癣
肝素钠乳膏|早期冻疮
肝素钠乳膏|皲裂
肝素钠乳膏|溃疡
肝素钠乳膏|湿疹
肝素钠乳膏|浅表性静脉炎
肝素钠乳膏|软组织损伤
外用溃疡散|口舌生疮
外用溃疡散|溃疡
外用溃疡散|咽喉红肿
外用溃疡散|皮肤溃烂
外用溃疡散|外伤感染
外用溃疡散|宫颈糜烂
盐酸阿莫罗芬乳膏|足癣
盐酸阿莫罗芬乳膏|股癣
盐酸阿莫罗芬乳膏|体癣。皮肤念珠菌病
鱼鳞病片|鱼鳞病
阿昔洛韦凝胶|单纯疱疹病毒感染
阿昔洛韦凝胶|殖器疱疹病毒感染
阿昔洛韦凝胶|带状疱疹
阿昔洛韦凝胶|免疫缺陷者水痘
乌蛇止痒丸|皮肤瘙痒
乌蛇止痒丸|荨麻疹
盐酸多塞平乳膏|异位性皮炎
盐酸多塞平乳膏|慢性单纯性苔癣
盐酸多塞平乳膏|过敏性接触性皮炎
盐酸多塞平乳膏|瘙痒
异维A酸凝胶|痤疮
醋酸曲安奈德益康唑乳膏|皮炎
醋酸曲安奈德益康唑乳膏|湿疹
醋酸曲安奈德益康唑乳膏|足癣
醋酸曲安奈德益康唑乳膏|体癣
醋酸曲安奈德益康唑乳膏|股癣
醋酸曲安奈德益康唑乳膏|花斑癣
醋酸曲安奈德益康唑乳膏|尿布性皮炎
醋酸曲安奈德益康唑乳膏|念珠菌性口角炎
醋酸曲安奈德益康唑乳膏|甲沟炎
醋酸曲安奈德益康唑乳膏|皮肤感染
皮敏消胶囊|急慢性荨麻疹
皮敏消胶囊|急性湿疹
黑豆馏油软膏|神经性皮炎
黑豆馏油软膏|慢性湿疹
氧化锌升华硫软膏|痤疮
氧化锌升华硫软膏|酒渣鼻
氧化锌升华硫软膏|脂溢性皮肤炎
地氯雷他定片|特发性荨麻疹
地氯雷他定片|常年性过敏性鼻炎
盐酸异丙嗪片|皮肤粘膜的过敏
盐酸异丙嗪片|过敏性鼻炎
盐酸异丙嗪片|血管舒缩性鼻炎
盐酸异丙嗪片|过敏性结膜炎
盐酸异丙嗪片|荨麻疹
盐酸异丙嗪片|血管神经性水肿
盐酸异丙嗪片|皮肤划痕症
盐酸异丙嗪片|晕动病
盐酸异丙嗪片|恶心
盐酸异丙嗪片|呕吐
盐酸异丙嗪片|术后疼痛
氯雷他定口腔崩解片|过敏性鼻炎
氯雷他定口腔崩解片|喷嚏
氯雷他定口腔崩解片|流涕
氯雷他定口腔崩解片|鼻痒
氯雷他定口腔崩解片|鼻塞
氯雷他定口腔崩解片|眼部痒
氯雷他定口腔崩解片|眼部烧灼感
氯雷他定口腔崩解片|慢性荨麻疹
氯雷他定口腔崩解片|瘙痒性皮肤病
复方克霉唑乳膏|皮肤念珠菌病
复方克霉唑乳膏|足癣
复方克霉唑乳膏|股癣
复方克霉唑乳膏|体癣
复方克霉唑乳膏|花斑癣
复方克霉唑乳膏|甲沟炎
复方克霉唑乳膏|须癣
复方克霉唑乳膏|头癣
硝酸益康唑乳膏|皮肤念珠菌病
硝酸益康唑乳膏|体癣
硝酸益康唑乳膏|股癣
硝酸益康唑乳膏|足癣
硝酸益康唑乳膏|花斑癣
醋酸曲安奈德乳膏|过敏性皮炎
醋酸曲安奈德乳膏|湿疹
醋酸曲安奈德乳膏|神经性皮炎
醋酸曲安奈德乳膏|脂溢性皮炎
醋酸曲安奈德乳膏|瘙痒症
复方莪术油栓|白色念珠菌阴道感染
复方莪术油栓|霉菌性阴道炎
复方莪术油栓|滴虫性阴道炎
复方莪术油栓|宫颈糜烂
克霉唑乳膏|体癣
克霉唑乳膏|股癣
克霉唑乳膏|手癣
克霉唑乳膏|足癣
克霉唑乳膏|花斑癣
克霉唑乳膏|头癣
克霉唑乳膏|念珠菌性甲沟炎
克霉唑乳膏|念珠菌性外阴阴道炎
鼻窦炎口服液|塞不通
鼻窦炎口服液|流黄稠涕
鼻窦炎口服液|急慢性鼻炎
鼻窦炎口服液|鼻窦炎
地蒽酚软膏|寻常型斑块状银屑病
荆肤止痒颗粒|童风热型荨麻疹
荆肤止痒颗粒|湿热型丘疹性荨麻疹
荆肤止痒颗粒|脓疱疮
荆肤止痒颗粒|风团
荆肤止痒颗粒|水疱
荆肤止痒颗粒|瘙痒
复方皂矾丸|再生障碍性贫血
复方皂矾丸|白细胞减少症
复方皂矾丸|血小板减少症
复方皂矾丸|骨髓增生异常综合症
复方皂矾丸|骨髓损伤
复方皂矾丸|血细胞减少
复方水杨酸搽剂|手癣
复方水杨酸搽剂|足癣
复方水杨酸搽剂|体癣
复方水杨酸搽剂|股癣
他克莫司软膏|特应性皮炎
醋酸氟轻松冰片乳膏|皮炎
醋酸氟轻松冰片乳膏|湿疹
醋酸氟轻松冰片乳膏|牛皮癣
醋酸氟轻松冰片乳膏|肛门瘙痒
醋酸氟轻松冰片乳膏|生殖部位瘙痒
烫伤油|Ⅰ度烧烫伤
烫伤油|Ⅱ度烧烫伤
烫伤油|酸碱灼伤
槐榆清热止血胶囊|内痔
槐榆清热止血胶囊|混合痔急
槐榆清热止血胶囊|便血
槐榆清热止血胶囊|肛门坠胀疼痛
金龙胶囊|原发性肝癌
金龙胶囊|胸胁疼痛
金龙胶囊|神疲乏力
金龙胶囊|腹胀
金龙胶囊|纳差
马来酸恩替卡韦片|慢性成人乙型肝炎
槐耳颗粒|原发性肝癌
槐耳颗粒|肝区疼痛
槐耳颗粒|腹胀
槐耳颗粒|乏力
槐耳颗粒|肺癌
槐耳颗粒|胃肠癌
槐耳颗粒|乳腺癌
槐耳颗粒|神疲乏力
槐耳颗粒|少气懒言
槐耳颗粒|脘腹疼痛
槐耳颗粒|胀闷
槐耳颗粒|纳谷少馨
槐耳颗粒|大便干结
槐耳颗粒|溏泄
槐耳颗粒|气促
槐耳颗粒|咳嗽
槐耳颗粒|多痰
槐耳颗粒|面色晄白
槐耳颗粒|胸胁不适
谷胱甘肽片|慢性乙肝
十味蒂达胶囊|绞疼
十味蒂达胶囊|口苦
十味蒂达胶囊|恶心
十味蒂达胶囊|暖气
十味蒂达胶囊|泛酸
十味蒂达胶囊|腹胀
十味蒂达胶囊|慢性胆囊炎
十味蒂达胶囊|胆结石
肝爽颗粒|急性肝炎
肝爽颗粒|慢性肝炎
肝爽颗粒|肝硬化
肝爽颗粒|肝功能损害
复方斑蝥胶囊|原发性肝癌
复方斑蝥胶囊|肺癌
复方斑蝥胶囊|直肠癌
复方斑蝥胶囊|恶性淋巴瘤
复方斑蝥胶囊|妇科恶性肿瘤
壳脂胶囊|非酒精性脂肪肝
壳脂胶囊|气滞血瘀
壳脂胶囊|湿浊内蕴
壳脂胶囊|肝肾不足
壳脂胶囊|肝区闷胀不适
壳脂胶囊|闷痛
壳脂胶囊|耳鸣
壳脂胶囊|胸闷
壳脂胶囊|气短
壳脂胶囊|肢麻体重
壳脂胶囊|腰膝酸软
壳脂胶囊|口苦口粘
壳脂胶囊|尿黄
六味五灵片|慢性乙型肝炎
六味五灵片|肝肾不足
六味五灵片|胁肋疼痛
六味五灵片|腰膝酸软
六味五灵片|口干咽燥
六味五灵片|倦怠
六味五灵片|乏力
六味五灵片|纳差
六味五灵片|脘胀
六味五灵片|小便色黄
六味五灵片|头昏目眩
六味五灵片|两目干涩
六味五灵片|手足心热
六味五灵片|失眠
六味五灵片|多梦
肝泰舒胶囊|急性肝炎
肝泰舒胶囊|慢性肝炎
肝泰舒胶囊|胆囊炎
肝泰舒胶囊|黄水病
肝泰舒胶囊|黄疸型肝炎
肝泰舒胶囊|肝硬化
肝泰舒胶囊|乙型肝炎
胆胃康胶囊|肝胆湿热
胆胃康胶囊|胁痛
胆胃康胶囊|黄疸
胆胃康胶囊|胆汁反流性胃炎
胆胃康胶囊|胆囊炎
茴三硫片|胆囊炎
茴三硫片|胆囊息肉
茴三硫片|胆结石
茴三硫片|消化不适
茴三硫片|急性肝炎
茴三硫片|慢性肝炎
二十五味松石丸|肝郁气滞
二十五味松石丸|血瘀
二十五味松石丸|肝中毒
二十五味松石丸|肝痛
二十五味松石丸|肝硬化
二十五味松石丸|肝渗水
二十五味松石丸|急性肝炎
二十五味松石丸|慢性肝炎
二十五味松石丸|胆囊炎
胆石通胶囊|肝胆湿热所
胆石通胶囊|胁痛
胆石通胶囊|胆胀
胆石通胶囊|右胁胀痛
胆石通胶囊|痞满呕吐
胆石通胶囊|尿黄
胆石通胶囊|口苦
胆石通胶囊|胆石症
胆石通胶囊|胆囊炎
化滞柔肝颗粒|非酒精性单纯性脂肪肝
化滞柔肝颗粒|肝区不适
化滞柔肝颗粒|肝区隐痛
化滞柔肝颗粒|乏力
化滞柔肝颗粒|食欲减退
化滞柔肝颗粒|舌苔黄腻
柴胡舒肝丸|肝气不舒
柴胡舒肝丸|胸胁痞闷
柴胡舒肝丸|食滞不清
柴胡舒肝丸|呕吐酸水
鲨肝醇片|白细胞减少症
消炎利胆软胶囊|肝胆湿热
消炎利胆软胶囊|口苦
消炎利胆软胶囊|胁痛
消炎利胆软胶囊|急性胆囊炎
消炎利胆软胶囊|胆道炎
金胆片|急胆囊炎
金胆片|慢性胆囊炎
金胆片|胆石症
金胆片|胆道感染
丁二磺酸腺苷蛋氨酸肠溶片|肝硬化
丁二磺酸腺苷蛋氨酸肠溶片|肝内胆汁郁积
利胆片|肝胆湿热
利胆片|胁痛
利胆片|胁肋疼痛
利胆片|胃腹部疼痛
利胆片|大便不通
利胆片|小便短赤
利胆片|身热
利胆片|头痛
利胆片|呕吐不食
